"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2914","testLoginWithoutCreds","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPage","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPage","testLoginWithoutCreds"
"","6219","testLoginWithInvalidCreds","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPageInSingleTC","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPageInSingleTC","testLoginWithInvalidCreds"
"","6877","loginWithInvalidCreds","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPage","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPage","loginWithInvalidCreds"
"","2714","testHomePageTitle","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestHomePage","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestHomePage","testHomePageTitle"
"","1106","testLoginWithInvalidCreds","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPageInSingleTC","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPageInSingleTC","testLoginWithInvalidCreds"
"","1041","testLoginWithInvalidCreds","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPageInSingleTC","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPageInSingleTC","testLoginWithInvalidCreds"
"","6157","testLoginWithoutPassAndwithEmail","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPage","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPage","testLoginWithoutPassAndwithEmail"
"","6149","testLoginWithoutCreds","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPageInSingleTC","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPageInSingleTC","testLoginWithoutCreds"
"","129","testLoginWithInvalidCreds","All Test Suite","2025-09-06","failed","2025-09-06","testcases.TestLoginPageInSingleTC","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPageInSingleTC","testLoginWithInvalidCreds"
"","822","testLoginWithInvalidCreds","All Test Suite","2025-09-06","passed","2025-09-06","testcases.TestLoginPageInSingleTC","C:/Users/Tajwar (Day Shift)/Desktop/All Important docs/Automation tests/WebAutomation projects/WebAutomationTest/src/test/java/testcases","testcases.TestLoginPageInSingleTC","testLoginWithInvalidCreds"
